Group,Type,Sample,Source,CPM,UNK
Background,Background,Background,Background,29,1013.91
A,Standard,PE1,Aliquot1,414,690.78
A,Standard,PE1,Aliquot2,383,701.38
A,Standard,PE1,Aliquot3,380,698.57
A,Standard,PE2,Aliquot1,296,693.15
A,Standard,PE2,Aliquot2,300,708.4
A,Standard,PE2,Aliquot3,318,687.01
A,Standard,PE3,Aliquot1,248,676.18
A,Standard,PE3,Aliquot2,247,767.52
A,Standard,PE3,Aliquot3,255,663.61
B,Standard,PE1,Aliquot1,1636,719.83
B,Standard,PE1,Aliquot2,1608,722.69
B,Standard,PE1,Aliquot3,1618,718.23
B,Standard,PE2,Aliquot1,1614,711.34
B,Standard,PE2,Aliquot2,1642,719.72
B,Standard,PE2,Aliquot3,1594,712.53
B,Standard,PE3,Aliquot1,1633,713.49
B,Standard,PE3,Aliquot2,1596,717.07
B,Standard,PE3,Aliquot3,1620,716.64
C,Standard,PE1,Aliquot1,1523,707.74
C,Standard,PE1,Aliquot2,1517,717.71
C,Standard,PE1,Aliquot3,1498,703.34
C,Standard,PE2,Aliquot1,1476,721.81
C,Standard,PE2,Aliquot2,1505,718.64
C,Standard,PE2,Aliquot3,1462,704.46
C,Standard,PE3,Aliquot1,1535,708.86
C,Standard,PE3,Aliquot2,1522,703.17
C,Standard,PE3,Aliquot3,1546,708.95
D,Standard,PE1,Aliquot1,1132,712.68
D,Standard,PE1,Aliquot2,1087,719.46
D,Standard,PE1,Aliquot3,1080,707.02
D,Standard,PE2,Aliquot1,953,694.34
D,Standard,PE2,Aliquot2,949,716.58
D,Standard,PE2,Aliquot3,940,696.96
D,Standard,PE3,Aliquot1,819,706.67
D,Standard,PE3,Aliquot2,823,694.9
D,Standard,PE3,Aliquot3,810,709.66
E,Standard,PE1,Aliquot1,1490,705.43
E,Standard,PE1,Aliquot2,1511,714.78
E,Standard,PE1,Aliquot3,1491,711.9
E,Standard,PE2,Aliquot1,1488,715.56
E,Standard,PE2,Aliquot2,1486,708.4
E,Standard,PE2,Aliquot3,1488,706.81
E,Standard,PE3,Aliquot1,1483,720.37
E,Standard,PE3,Aliquot2,1482,705.71
E,Standard,PE3,Aliquot3,1472,700.69
F,Standard,PE1,Aliquot1,960,712.6
F,Standard,PE1,Aliquot2,955,692.21
