SET,VIALS,SETS,SETLABELS,SUBSETS,SUBSETHEADER,SUBSETLABLES,SAMPLES
Background,1,1,Background,1,Background,Background,1
Standards,135,15,A;B;C;D;E;F;G;H;I;J;K;L;M;N;O,3,Pebottle,PE1;PE2;PE3,3
Urine,30,2,Day1;Day2,15,Group,A;B;C;D;E;F;G;H;I;J;K;L;M;N;O,1
Feces,30,2,Day1;Day2,15,Group,A;B;C;D;E;F;G;H;I;J;K;L;M;N;O,1
Background,1,1,Background,1,Background,Background,1
Organs,180,9,Thymus;Heart;Lungs;Kidneys;Spleen;Liver;ART;Soft;Skel,5,Group,A;B;C;D;E,4
Background,1,1,Background,1,Background,Background,1
Organs,180,9,Thymus;Heart;Lungs;Kidneys;Spleen;Liver;ART;Soft;Skel,5,Group,F;G;H;I;J,4
Background,1,1,Background,1,Background,Background,1
Organs,180,9,Thymus;Heart;Lungs;Kidneys;Spleen;Liver;ART;Soft;Skel,5,Group,K;L;M;N;O,4
