Mouse #,Day 0 Weight (g),Final Weight (g)
1,32.1,33.68
2,32.19,32.98
3,31.72,32.8
4,29.88,29.95
5,31.35,31.6
6,29.91,29.42
7,30.23,29.24
8,30.76,31.01
9,30.29,30.34
10,30.37,30.05
11,30.63,30.12
12,30.74,30.32
13,33.64,33.9
14,30.49,30.43
15,30.37,30.62
16,32.68,32.52
17,30.35,30.79
18,29.47,30.02
19,31.92,31.79
20,32.89,33.33
21,32.56,30.93
22,32.22,33.46
23,30.03,30.15
24,35.5,35.04
25,32.5,31.5
26,31.13,31.1
27,30.23,30.17
28,30.41,29.58
29,35.41,35.48
30,31.57,31.93
31,30.93,30.84
32,34.16,34.83
33,31.92,33.17
34,31.4,33.33
35,31.2,30.02
36,30.71,30.69
37,31.43,31.36
38,31.7,31.12
39,32.6,31.67
40,35.48,36.42
41,32.09,33.77
42,36.65,34.45
43,28.75,28.29
44,31.94,32.29
45,29.58,30.13
46,31.7,32.89
47,30.92,30.53
48,29.11,29.57
49,31.47,31.81
50,29.74,30.19
51,33.11,32.88
52,34.03,34.74
53,30.39,29.31
54,32.1,31.11
55,30.92,30.57
56,34.3,34.18
57,29.34,28.85
58,32.3,30.76
59,31.14,29.92
60,29.66,29.18
